Significant,p-value(-log10),Difference(z-score),Protein IDs,Majority protein IDs,uniprot,Symbol color,Symbol type,Symbol size,Show label,GOBP name,GOMF name,GOCC name,Taxonomy,Peptides,Razor + unique peptides,Unique peptides,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Q-value,Score,Intensity,MS/MS Count,oxidized 48h a LFQ,oxidized 72h a LFQ,oxidized 48h b LFQ,oxidized 72h b LFQ,oxidized 48h c LFQ,oxidized 72h c LFQ,reduced 48h a LFQ,reduced 72h a LFQ,reduced 48h b LFQ,reduced 72h b2 LFQ,reduced 48h c LFQ,reduced 72h c LFQ
+,1.94676591,0.815416296,sp|P40422|RPAB4_YEAST,sp|P40422|RPAB4_YEAST,P40422,Color [DarkGray],1,4,+,"binding;catalytic activity;cation binding;DNA binding;DNA-directed RNA polymerase activity;ion binding;metal ion binding;nucleic acid binding;nucleotidyltransferase activity;RNA polymerase activity;RNA polymerase I activity;transferase activity;transferase activity, transferring phosphorus-containing groups;transition metal ion binding;zinc ion binding","cell part;DNA-directed RNA polymerase complex;DNA-directed RNA polymerase I complex;DNA-directed RNA polymerase II, core complex;DNA-directed RNA polymerase III complex;intracellular organelle part;intracellular part;macromolecular complex;nuclear DNA-directed RNA polymerase complex;nuclear part;nucleolar part;nucleoplasm;nucleoplasm part;organelle part;protein complex;RNA polymerase complex",biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;ribosome biogenesis;RNA metabolic process;transcription from RNA polymerase I promoter;transcription from RNA polymerase II promoter;transcription from RNA polymerase III promoter,RPAB4_YEAST,3,3,3,51.4,51.4,51.4,7.7159,0,62.525,305090000,40,-0.8404474,-0.4745677,-0.7747871,-0.9637281,-1.069674,-0.8297652,-1.576457,-0.9640594,-1.525146,-2.154957,-2.029555,-1.267735
+,1.71429968,0.794531236,sp|P20435|RPAB2_YEAST,sp|P20435|RPAB2_YEAST,P20435,Color [DarkGray],1,4,+,"binding;catalytic activity;DNA binding;DNA-directed RNA polymerase activity;nucleic acid binding;nucleotidyltransferase activity;RNA polymerase activity;RNA polymerase I activity;transferase activity;transferase activity, transferring phosphorus-containing groups","cell part;cytoplasm;DNA-directed RNA polymerase complex;DNA-directed RNA polymerase I complex;DNA-directed RNA polymerase II, core complex;DNA-directed RNA polymerase III complex;intracellular organelle part;intracellular part;macromolecular complex;nuclear DNA-directed RNA polymerase complex;nuclear part;nucleolar part;nucleoplasm;nucleoplasm part;organelle part;protein complex;RNA polymerase complex",biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;macromolecule metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;primary metabolic process;ribosome biogenesis;RNA metabolic process;transcription from RNA polymerase I promoter;transcription from RNA polymerase II promoter;transcription from RNA polymerase III promoter,RPAB2_YEAST,4,4,4,32.3,32.3,32.3,17.91,0,74.779,415090000,45,-0.9285673,-0.5166217,-0.403298,-0.4861695,-0.4270091,-0.4621189,-1.226414,-0.9504367,-1.61963,-1.107395,-1.296424,-1.523122
+,3.752010927,1.372734398,sp|P21306|ATP5E_YEAST,sp|P21306|ATP5E_YEAST,P21306,Color [DarkGray],1,4,+,"active transmembrane transporter activity;ATPase activity;ATPase activity, coupled;ATPase activity, coupled to movement of substances;ATPase activity, coupled to transmembrane movement of ions;ATPase activity, coupled to transmembrane movement of substances;catalytic activity;cation transmembrane transporter activity;cation-transporting ATPase activity;hydrogen ion transmembrane transporter activity;hydrogen ion transporting ATP synthase activity, rotational mechanism;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;inorganic cation transmembrane transporter activity;ion transmembrane transporter activity;monovalent inorganic cation transmembrane transporter activity;nucleoside-triphosphatase activity;P-P-bond-hydrolysis-driven transmembrane transporter activity;primary active transmembrane transporter activity;proton-transporting ATPase activity, rotational mechanism;pyrophosphatase activity;substrate-specific transmembrane transporter activity;substrate-specific transporter activity;transmembrane transporter activity;transporter activity","cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane part;mitochondrial membrane part;mitochondrial part;mitochondrial proton-transporting ATP synthase, central stalk;organelle part;protein complex;proton-transporting ATP synthase, central stalk",biosynthetic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;establishment of localization;heterocycle metabolic process;hydrogen transport;ion transport;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleotide metabolic process;primary metabolic process;small molecule metabolic process;transmembrane transport;transport,ATP5E_YEAST,4,4,4,62.9,62.9,62.9,6.7425,0,55.271,1371600000,46,-0.5276479,-0.8909813,-0.3981375,-0.5262328,-0.4675904,-0.8411958,-1.753222,-2.12555,-2.026765,-2.472418,-1.731592,-1.684535
+,1.314654885,0.905824876,sp|P33317|DUT_YEAST,sp|P33317|DUT_YEAST,P33317,Color [DarkGray],1,4,+,"binding;catalytic activity;cation binding;dITP diphosphatase activity;dUTP diphosphatase activity;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;ion binding;metal ion binding;nucleoside-triphosphate diphosphatase activity;pyrophosphatase activity",,biosynthetic process;catabolic process;cellular metabolic process;cellular nitrogen compound metabolic process;cellular process;heterocycle metabolic process;metabolic process;nitrogen compound metabolic process;nucleobase-containing compound catabolic process;nucleobase-containing compound metabolic process;nucleobase-containing small molecule metabolic process;nucleotide metabolic process;primary metabolic process;small molecule metabolic process,DUT_YEAST,4,4,4,30.6,30.6,30.6,15.307,0,67.852,453900000,32,-0.5741876,-0.3785594,-0.05062286,-0.5280877,-0.4694692,-0.3223167,-0.8438649,-1.387343,-1.798665,-1.517681,-1.169224,-1.447261
+,2.042510558,0.759182135,sp|P19073|CDC42_YEAST,sp|P19073|CDC42_YEAST,P19073,Color [DarkGray],1,4,+,"binding;catalytic activity;GTP binding;GTPase activity;guanyl nucleotide binding;guanyl ribonucleotide binding;hydrolase activity;hydrolase activity, acting on acid anhydrides;hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides;nucleoside-triphosphatase activity;nucleotide binding;purine nucleotide binding;purine ribonucleoside triphosphate binding;purine ribonucleotide binding;pyrophosphatase activity;ribonucleotide binding",cell cortex part;cell part;cell projection part;cellular bud neck;cellular bud tip;cytoplasmic part;cytoskeletal part;cytoskeleton;fungal-type vacuole membrane;incipient cellular bud site;intracellular non-membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;mating projection tip;membrane;non-membrane-bounded organelle;nuclear membrane;nuclear part;organelle;organelle membrane;organelle part;plasma membrane;septin cytoskeleton;septin ring;site of polarized growth;vacuolar membrane;vacuolar part,biological regulation;cell cycle;cellular component organization;cellular process;conjugation;conjugation with cellular fusion;cytoskeleton organization;establishment or maintenance of cell polarity;filamentous growth;growth;growth of unicellular organism as a thread of attached cells;invasive growth in response to glucose limitation;metabolic process;multi-organism process;organelle organization;regulation of cell cycle;regulation of mitotic cell cycle;regulation of organelle organization;regulation of transport;reproduction;response to stimulus;signal transduction,CDC42_YEAST,5,5,5,26.2,26.2,26.2,21.322,0,23.3,975510000,58,-0.7974187,-0.8855811,-0.4730806,-0.7884876,-0.878892,-0.8357282,-1.47694,-1.518568,-1.298876,-1.790537,-1.651121,-1.080076
+,1.827209193,-0.541811333,sp|P33331|NTF2_YEAST,sp|P33331|NTF2_YEAST,P33331,Color [DarkGray],1,4,+,binding;enzyme binding;GTPase binding;protein binding;Ran GTPase binding;Ras GTPase binding;small GTPase binding,cell part;cytoplasm;envelope;intracellular organelle part;intracellular part;nuclear envelope;nuclear part;organelle envelope;organelle part,establishment of localization;nuclear transport;nucleocytoplasmic transport;protein targeting;protein transport;transport,NTF2_YEAST,5,5,5,56,56,56,14.453,0,141.92,2377400000,95,-0.8277992,0.1493996,-0.5642639,-0.8958529,-0.6311514,-0.8446255,-0.02212157,-0.04373898,-0.03117224,-0.07389792,-0.3444868,-0.3491422
+,2.255057632,1.03368488,sp|P57744|TIM8_YEAST,sp|P57744|TIM8_YEAST,P57744,Color [DarkGray],1,4,+,binding;cation binding;ion binding;metal ion binding;protein transporter activity;substrate-specific transporter activity;transporter activity,cell part;cytoplasmic part;intracellular organelle part;intracellular part;macromolecular complex;membrane;membrane-enclosed lumen;mitochondrial inner membrane;mitochondrial intermembrane space;mitochondrial intermembrane space protein transporter complex;mitochondrial membrane;mitochondrial part;organelle envelope lumen;organelle inner membrane;organelle membrane;organelle part;protein complex,cellular component organization;cellular membrane organization;cellular process;establishment of localization;membrane organization;mitochondrion organization;organelle organization;protein targeting;protein transport;transport,TIM8_YEAST,5,5,5,79.3,79.3,79.3,9.7638,0,106.37,339880000,36,-0.6215143,-0.6759751,-0.3345764,-0.9046121,-0.4076082,-1.008759,-1.279339,-1.151464,-1.824036,-0.8808937,-1.361378,-1.458835
+,3.215986182,0.957221647,sp|O13563|RPN13_YEAST,sp|O13563|RPN13_YEAST,O13563,Color [DarkGray],1,4,+,binding;protein binding;small conjugating protein binding;ubiquitin binding,"cell part;cytoplasmic part;cytosolic part;cytosolic proteasome complex;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;macromolecular complex;membrane-bounded organelle;nucleus;organelle;proteasome complex;proteasome regulatory particle, lid subcomplex;proteasome storage granule;protein complex",catabolic process;cellular metabolic process;cellular process;macromolecule metabolic process;metabolic process;primary metabolic process;protein metabolic process;proteolysis;proteolysis involved in cellular protein catabolic process,RPN13_YEAST,6,6,6,46.8,46.8,46.8,17.902,0,31.421,807390000,47,-0.5086309,-0.8912182,-0.6596285,-1.066178,-0.6303595,-0.5748712,-1.548822,-1.334101,-1.709637,-2.066202,-1.411824,-0.9334088
+,1.602778583,0.772244096,sp|P15367|SEC11_YEAST,sp|P15367|SEC11_YEAST,P15367,Color [DarkGray],1,4,+,"catalytic activity;hydrolase activity;peptidase activity;peptidase activity, acting on L-amino acid peptides;serine hydrolase activity;serine-type peptidase activity",cell part;cytoplasmic part;endoplasmic reticulum;endoplasmic reticulum part;integral to membrane;intracellular membrane-bounded organelle;intracellular organelle;intracellular organelle part;intracellular part;intrinsic to membrane;macromolecular complex;membrane part;membrane-bounded organelle;organelle;organelle part;protein complex;signal peptidase complex,cellular metabolic process;cellular process;establishment of localization;macromolecule metabolic process;metabolic process;peptide metabolic process;primary metabolic process;protein maturation;protein metabolic process;protein targeting;protein transport;transport,SEC11_YEAST,6,6,6,34.7,34.7,34.7,18.762,0,47.045,438770000,47,-0.726964,-1.112738,-0.5136508,-0.901472,-0.723964,-0.9489629,-1.132794,-0.710424,-1.316657,-0.9519609,-1.831859,-1.467259
+,2.150217858,-0.481837153,sp|P25367|RNQ1_YEAST,sp|P25367|RNQ1_YEAST,P25367,Color [DarkGray],1,4,+,,cell part;cytoplasmic part;cytosol;intracellular membrane-bounded organelle;intracellular organelle;intracellular part;membrane-bounded organelle;nucleus;organelle,,RNQ1_YEAST,6,6,6,21.7,21.7,21.7,42.579,0,251.43,1419800000,72,-0.8187125,-0.6493461,-0.896903,-1.122275,-0.5818916,-0.6505827,-0.2933806,-0.3028007,-0.2821508,-0.2157502,-0.2764643,-0.6244196
